case_id,fault_type,service_family,budget,rank,top1,top3,top5,avg_at_5,config
webservice2_memory_1625138212,memory,web,0.1,1,1,1,1,1.0,baseline
webservice2_memory_1625138212,memory,web,0.25,3,0,1,1,0.6,baseline
webservice2_memory_1625138212,memory,web,0.5,5,0,0,1,0.2,baseline
dbservice1_memory_1625140467,memory,database,0.1,1,1,1,1,1.0,baseline
dbservice1_memory_1625140467,memory,database,0.25,3,0,1,1,0.6,baseline
dbservice1_memory_1625140467,memory,database,0.5,4,0,0,1,0.4,baseline
dbservice2_memory_1625144096,memory,database,0.1,1,1,1,1,1.0,baseline
dbservice2_memory_1625144096,memory,database,0.25,1,1,1,1,1.0,baseline
dbservice2_memory_1625144096,memory,database,0.5,2,0,1,1,0.8,baseline
redisservice1_memory_1625145523,memory,cache,0.1,1,1,1,1,1.0,baseline
redisservice1_memory_1625145523,memory,cache,0.25,1,1,1,1,1.0,baseline
redisservice1_memory_1625145523,memory,cache,0.5,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625151823,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625151823,qr_expired,mobile,0.25,2,0,1,1,0.8,baseline
mobservice1_qr_expired_1625151823,qr_expired,mobile,0.5,3,0,1,1,0.6,baseline
mobservice2_qr_expired_1625152105,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625152105,qr_expired,mobile,0.25,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625152105,qr_expired,mobile,0.5,2,0,1,1,0.8,baseline
dbservice2_memory_1625152223,memory,database,0.1,1,1,1,1,1.0,baseline
dbservice2_memory_1625152223,memory,database,0.25,1,1,1,1,1.0,baseline
dbservice2_memory_1625152223,memory,database,0.5,1,1,1,1,1.0,baseline
webservice2_memory_1625154530,memory,web,0.1,1,1,1,1,1.0,baseline
webservice2_memory_1625154530,memory,web,0.25,3,0,1,1,0.6,baseline
webservice2_memory_1625154530,memory,web,0.5,5,0,0,1,0.2,baseline
redisservice2_memory_1625155035,memory,cache,0.1,1,1,1,1,1.0,baseline
redisservice2_memory_1625155035,memory,cache,0.25,1,1,1,1,1.0,baseline
redisservice2_memory_1625155035,memory,cache,0.5,2,0,1,1,0.8,baseline
redisservice1_memory_1625157279,memory,cache,0.1,1,1,1,1,1.0,baseline
redisservice1_memory_1625157279,memory,cache,0.25,1,1,1,1,1.0,baseline
redisservice1_memory_1625157279,memory,cache,0.5,2,0,1,1,0.8,baseline
mobservice2_memory_1625157918,memory,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_memory_1625157918,memory,mobile,0.25,2,0,1,1,0.8,baseline
mobservice2_memory_1625157918,memory,mobile,0.5,3,0,1,1,0.6,baseline
redisservice2_memory_1625165701,memory,cache,0.1,1,1,1,1,1.0,baseline
redisservice2_memory_1625165701,memory,cache,0.25,1,1,1,1,1.0,baseline
redisservice2_memory_1625165701,memory,cache,0.5,3,0,1,1,0.6,baseline
mobservice2_memory_1625168598,memory,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_memory_1625168598,memory,mobile,0.25,3,0,1,1,0.6,baseline
mobservice2_memory_1625168598,memory,mobile,0.5,2,0,1,1,0.8,baseline
logservice2_memory_1625172320,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice2_memory_1625172320,memory,logging,0.25,3,0,1,1,0.6,baseline
logservice2_memory_1625172320,memory,logging,0.5,2,0,1,1,0.8,baseline
redisservice1_memory_1625174903,memory,cache,0.1,1,1,1,1,1.0,baseline
redisservice1_memory_1625174903,memory,cache,0.25,2,0,1,1,0.8,baseline
redisservice1_memory_1625174903,memory,cache,0.5,2,0,1,1,0.8,baseline
redisservice2_memory_1625175011,memory,cache,0.1,1,1,1,1,1.0,baseline
redisservice2_memory_1625175011,memory,cache,0.25,1,1,1,1,1.0,baseline
redisservice2_memory_1625175011,memory,cache,0.5,2,0,1,1,0.8,baseline
dbservice1_memory_1625178785,memory,database,0.1,1,1,1,1,1.0,baseline
dbservice1_memory_1625178785,memory,database,0.25,1,1,1,1,1.0,baseline
dbservice1_memory_1625178785,memory,database,0.5,1,1,1,1,1.0,baseline
redisservice2_memory_1625179202,memory,cache,0.1,1,1,1,1,1.0,baseline
redisservice2_memory_1625179202,memory,cache,0.25,2,0,1,1,0.8,baseline
redisservice2_memory_1625179202,memory,cache,0.5,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625179967,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625179967,qr_expired,mobile,0.25,3,0,1,1,0.6,baseline
mobservice2_qr_expired_1625179967,qr_expired,mobile,0.5,5,0,0,1,0.2,baseline
mobservice1_qr_expired_1625182698,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625182698,qr_expired,mobile,0.25,2,0,1,1,0.8,baseline
mobservice1_qr_expired_1625182698,qr_expired,mobile,0.5,4,0,0,1,0.4,baseline
dbservice1_memory_1625188889,memory,database,0.1,1,1,1,1,1.0,baseline
dbservice1_memory_1625188889,memory,database,0.25,3,0,1,1,0.6,baseline
dbservice1_memory_1625188889,memory,database,0.5,4,0,0,1,0.4,baseline
dbservice2_memory_1625193002,memory,database,0.1,1,1,1,1,1.0,baseline
dbservice2_memory_1625193002,memory,database,0.25,2,0,1,1,0.8,baseline
dbservice2_memory_1625193002,memory,database,0.5,2,0,1,1,0.8,baseline
mobservice1_memory_1625197067,memory,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_memory_1625197067,memory,mobile,0.25,1,1,1,1,1.0,baseline
mobservice1_memory_1625197067,memory,mobile,0.5,2,0,1,1,0.8,baseline
mobservice2_memory_1625200044,memory,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_memory_1625200044,memory,mobile,0.25,1,1,1,1,1.0,baseline
mobservice2_memory_1625200044,memory,mobile,0.5,1,1,1,1,1.0,baseline
logservice2_memory_1625204004,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice2_memory_1625204004,memory,logging,0.25,1,1,1,1,1.0,baseline
logservice2_memory_1625204004,memory,logging,0.5,1,1,1,1,1.0,baseline
mobservice2_memory_1625205092,memory,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_memory_1625205092,memory,mobile,0.25,1,1,1,1,1.0,baseline
mobservice2_memory_1625205092,memory,mobile,0.5,1,1,1,1,1.0,baseline
logservice1_memory_1625207751,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice1_memory_1625207751,memory,logging,0.25,3,0,1,1,0.6,baseline
logservice1_memory_1625207751,memory,logging,0.5,4,0,0,1,0.4,baseline
mobservice1_qr_expired_1625210087,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625210087,qr_expired,mobile,0.25,3,0,1,1,0.6,baseline
mobservice1_qr_expired_1625210087,qr_expired,mobile,0.5,5,0,0,1,0.2,baseline
mobservice2_qr_expired_1625210422,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625210422,qr_expired,mobile,0.25,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625210422,qr_expired,mobile,0.5,3,0,1,1,0.6,baseline
webservice2_memory_1625212312,memory,web,0.1,1,1,1,1,1.0,baseline
webservice2_memory_1625212312,memory,web,0.25,3,0,1,1,0.6,baseline
webservice2_memory_1625212312,memory,web,0.5,4,0,0,1,0.4,baseline
logservice2_memory_1625221783,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice2_memory_1625221783,memory,logging,0.25,1,1,1,1,1.0,baseline
logservice2_memory_1625221783,memory,logging,0.5,2,0,1,1,0.8,baseline
webservice1_memory_1625222072,memory,web,0.1,1,1,1,1,1.0,baseline
webservice1_memory_1625222072,memory,web,0.25,3,0,1,1,0.6,baseline
webservice1_memory_1625222072,memory,web,0.5,4,0,0,1,0.4,baseline
mobservice1_memory_1625224444,memory,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_memory_1625224444,memory,mobile,0.25,1,1,1,1,1.0,baseline
mobservice1_memory_1625224444,memory,mobile,0.5,3,0,1,1,0.6,baseline
dbservice1_memory_1625231603,memory,database,0.1,1,1,1,1,1.0,baseline
dbservice1_memory_1625231603,memory,database,0.25,1,1,1,1,1.0,baseline
dbservice1_memory_1625231603,memory,database,0.5,1,1,1,1,1.0,baseline
mobservice1_memory_1625232540,memory,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_memory_1625232540,memory,mobile,0.25,1,1,1,1,1.0,baseline
mobservice1_memory_1625232540,memory,mobile,0.5,3,0,1,1,0.6,baseline
logservice1_memory_1625234459,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice1_memory_1625234459,memory,logging,0.25,1,1,1,1,1.0,baseline
logservice1_memory_1625234459,memory,logging,0.5,3,0,1,1,0.6,baseline
mobservice2_memory_1625235821,memory,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_memory_1625235821,memory,mobile,0.25,1,1,1,1,1.0,baseline
mobservice2_memory_1625235821,memory,mobile,0.5,1,1,1,1,1.0,baseline
mobservice2_memory_1625240040,memory,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_memory_1625240040,memory,mobile,0.25,1,1,1,1,1.0,baseline
mobservice2_memory_1625240040,memory,mobile,0.5,3,0,1,1,0.6,baseline
mobservice1_qr_expired_1625240727,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625240727,qr_expired,mobile,0.25,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625240727,qr_expired,mobile,0.5,3,0,1,1,0.6,baseline
mobservice2_qr_expired_1625242846,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625242846,qr_expired,mobile,0.25,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625242846,qr_expired,mobile,0.5,2,0,1,1,0.8,baseline
dbservice1_memory_1625243441,memory,database,0.1,1,1,1,1,1.0,baseline
dbservice1_memory_1625243441,memory,database,0.25,1,1,1,1,1.0,baseline
dbservice1_memory_1625243441,memory,database,0.5,1,1,1,1,1.0,baseline
mobservice1_memory_1625247576,memory,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_memory_1625247576,memory,mobile,0.25,1,1,1,1,1.0,baseline
mobservice1_memory_1625247576,memory,mobile,0.5,3,0,1,1,0.6,baseline
redisservice2_memory_1625250114,memory,cache,0.1,1,1,1,1,1.0,baseline
