case_id,root_service,service,fault_type,service_family,budget,selected,label,service_order_position,deterministic_score,deterministic_trace_score,deterministic_metric_score,trace_rows_obs,trace_rows_base,trace_rows_ratio,mean_latency_obs,mean_latency_base,mean_latency_delta_ratio,max_latency_obs,max_latency_base,error_rate_obs,error_rate_base,error_rate_delta,trace_byte_obs,trace_byte_base,endpoint_count,cpu_obs,cpu_base,cpu_delta,cpu_abs_z,memory_obs,memory_base,memory_delta,memory_abs_z,net_in_err_obs,net_in_err_base,net_in_err_delta,net_in_err_abs_z,net_out_err_obs,net_out_err_base,net_out_err_delta,net_out_err_abs_z
webservice2_memory_1625138212,webservice2,webservice1,memory,web,0.25,0.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
webservice2_memory_1625138212,webservice2,webservice2,memory,web,0.25,1.0,1,0,1.7164227270989643,0.0,2.145528408873705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.016287335252528,5.023208411657504,-0.006921076404975857,0.4927225372375588,0.12424770991007483,0.12112760543823237,0.0031201044718424664,2.145528408873705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
webservice2_memory_1625138212,webservice2,mobservice1,memory,web,0.25,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
webservice2_memory_1625138212,webservice2,mobservice2,memory,web,0.25,0.0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
webservice2_memory_1625138212,webservice2,dbservice1,memory,web,0.25,1.0,0,1,2.102542662047889,0.0,2.628178327559861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082099957692497,0.04228525627703583,-0.03407526050778613,2.628178327559861,0.3205774321498845,0.3205681600679246,9.272081959887934e-06,1.8168799166601894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
webservice2_memory_1625138212,webservice2,dbservice2,memory,web,0.25,1.0,0,2,2.6592332358755115,0.0,3.324041544844389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9672379647095948,2.0220219069378014,-0.054783942228206595,2.5058489772635326,0.35503514607747394,0.3550022443135579,3.2901763916015625e-05,3.324041544844389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
webservice2_memory_1625138212,webservice2,redisservice1,memory,web,0.25,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
webservice2_memory_1625138212,webservice2,redisservice2,memory,web,0.25,0.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
webservice2_memory_1625138212,webservice2,logservice1,memory,web,0.25,0.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
webservice2_memory_1625138212,webservice2,logservice2,memory,web,0.25,0.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
